,Review,Score,Source
888,Seriously killer hot chai latte.,1,yelp
889,"No allergy warnings on the menu, and the waitress had absolutely no clue as to which meals did or did not contain peanuts.",0,yelp
890,My boyfriend tried the Mediterranean Chicken Salad and fell in love.,1,yelp
891,Their rotating beers on tap is also a highlight of this place.,1,yelp
892,Pricing is a bit of a concern at Mellow Mushroom.,0,yelp
893,Worst Thai ever.,0,yelp
894,If you stay in Vegas you must get breakfast here at least once.,1,yelp
895,I want to first say our server was great and we had perfect service.,1,yelp
896,The pizza selections are good.,1,yelp
897,"I had strawberry tea, which was good.",1,yelp
898,Highly unprofessional and rude to a loyal patron!,0,yelp
899,"Overall, a great experience.",1,yelp
900,Spend your money elsewhere.,0,yelp
901,Their regular toasted bread was equally satisfying with the occasional pats of butter... Mmmm...!,1,yelp
902,The Buffet at Bellagio was far from what I anticipated.,0,yelp
903,"And the drinks are WEAK, people!",0,yelp
904,-My order was not correct.,0,yelp
905,"Also, I feel like the chips are bought, not made in house.",0,yelp
906,After the disappointing dinner we went elsewhere for dessert.,0,yelp
907,The chips and sals a here is amazing!!!!!!!!!!!!!!!!!!!,1,yelp
908,We won't be returning.,0,yelp
909,This is my new fav Vegas buffet spot.,1,yelp
910,I seriously cannot believe that the owner has so many unexperienced employees that all are running around like chickens with their heads cut off.,0,yelp
911,"Very, very sad.",0,yelp
912,"i felt insulted and disrespected, how could you talk and judge another human being like that?",0,yelp
913,"How can you call yourself a steakhouse if you can't properly cook a steak, I don't understand!",0,yelp
914,I'm not impressed with the concept or the food.,0,yelp
915,The only thing I wasn't too crazy about was their guacamole as I don't like it puréed.,0,yelp
916,"There is really nothing for me at postinos, hope your experience is better",0,yelp
917,I got food poisoning here at the buffet.,0,yelp
918,They brought a fresh batch of fries and I was thinking yay something warm but no!,0,yelp
919,"What SHOULD have been a hilarious, yummy Christmas Eve dinner to remember was the biggest fail of the entire trip for us.",0,yelp
920,"Needless to say, I won't be going back anytime soon.",0,yelp
921,This place is disgusting!,0,yelp
922,"Every time I eat here, I see caring teamwork to a professional degree.",1,yelp
923,The RI style calamari was a joke.,0,yelp
924,"However, there was so much garlic in the fondue, it was barely edible.",0,yelp
925,"I could barely stomach the meal, but didn't complain because it was a business lunch.",0,yelp
926,"It was so bad, I had lost the heart to finish it.",0,yelp
927,It also took her forever to bring us the check when we asked for it.,0,yelp
928,We aren't ones to make a scene at restaurants but I just don't get it...definitely lost the love after this one!,0,yelp
929,Disappointing experience.,0,yelp
930,"The food is about on par with Denny's, which is to say, not good at all.",0,yelp
931,"If you want to wait for mediocre food and downright terrible service, then this is the place for you.",0,yelp
932,WAAAAAAyyyyyyyyyy over rated is all I am saying.,0,yelp
933,We won't be going back.,0,yelp
934,The place was fairly clean but the food simply wasn't worth it.,0,yelp
935,This place lacked style!!,0,yelp
936,"The sangria was about half of a glass wine full and was $12, ridiculous.",0,yelp
937,Don't bother coming here.,0,yelp
938,"The meat was pretty dry, I had the sliced brisket and pulled pork.",0,yelp
939,"The building itself seems pretty neat; the bathroom is pretty trippy, but I wouldn't eat here again.",0,yelp
940,It was equally awful.,0,yelp
941,Probably not in a hurry to go back.,0,yelp
942,very slow at seating even with reservation.,0,yelp
943,Not good by any stretch of the imagination.,0,yelp
944,The cashew cream sauce was bland and the vegetables were undercooked.,0,yelp
945,"The chipolte ranch dipping sause was tasteless, seemed thin and watered down with no heat.",0,yelp
946,"It was a bit too sweet, not really spicy enough, and lacked flavor.",0,yelp
947,I was VERY disappointed!!,0,yelp
948,This place is horrible and way overpriced.,0,yelp
949,"Maybe it's just their Vegetarian fare, but I've been twice and I thought it was average at best.",0,yelp
950,It wasn't busy at all and now we know why.,0,yelp
951,The tables outside are also dirty a lot of the time and the workers are not always friendly and helpful with the menu.,0,yelp
952,"The ambiance here did not feel like a buffet setting, but more of a douchey indoor garden for tea and biscuits.",0,yelp
953,Con: spotty service.,0,yelp
954,"The fries were not hot, and neither was my burger.",0,yelp
955,But then they came back cold.,0,yelp
956,"Then our food came out, disappointment ensued.",0,yelp
957,The real disappointment was our waiter.,0,yelp
958,My husband said she was very rude... did not even apologize for the bad food or anything.,0,yelp
959,The only reason to eat here would be to fill up before a night of binge drinking just to get some carbs in your stomach.,0,yelp
960,"Insults, profound deuchebaggery, and had to go outside for a smoke break while serving just to solidify it.",0,yelp
961,If someone orders two tacos don't' you think it may be part of customer service to ask if it is combo or ala cart?,0,yelp
962,She was quite disappointed although some blame needs to be placed at her door.,0,yelp
963,After all the rave reviews I couldn't wait to eat here......what a disappointment!,0,yelp
964,Del Taco is pretty nasty and should be avoided if possible.,0,yelp
965,It's NOT hard to make a decent hamburger.,0,yelp
966,But I don't like it.,0,yelp
967,Hell no will I go back,0,yelp
968,We've have gotten a much better service from the pizza place next door than the services we received from this restaurant.,0,yelp
969,"I don't know what the big deal is about this place, but I won't be back ""ya'all"".",0,yelp
970,I immediately said I wanted to talk to the manager but I did not want to talk to the guy who was doing shots of fireball behind the bar.,0,yelp
971,The ambiance isn't much better.,0,yelp
972,"Unfortunately, it only set us up for disapppointment with our entrees.",0,yelp
973,The food wasn't good.,0,yelp
974,"Your servers suck, wait, correction, our server Heimer sucked.",0,yelp
975,What happened next was pretty....off putting.,0,yelp
976,"too bad cause I know it's family owned, I really wanted to like this place.",0,yelp
977,Overpriced for what you are getting.,0,yelp
978,I vomited in the bathroom mid lunch.,0,yelp
979,"I kept looking at the time and it had soon become 35 minutes, yet still no food.",0,yelp
980,"I have been to very few places to eat that under no circumstances would I ever return to, and this tops the list.",0,yelp
981,We started with the tuna sashimi which was brownish in color and obviously wasn't fresh.,0,yelp
982,Food was below average.,0,yelp
983,It sure does beat the nachos at the movies but I would expect a little bit more coming from a restaurant.,0,yelp
984,"All in all, Ha Long Bay was a bit of a flop.",0,yelp
985,The problem I have is that they charge $11.99 for a sandwich that is no bigger than a Subway sub (which offers better and more amount of vegetables).,0,yelp
986,Shrimp- When I unwrapped it (I live only 1/2 a mile from Brushfire) it was literally ice cold.,0,yelp
987,"It lacked flavor, seemed undercooked, and dry.",0,yelp
988,It really is impressive that the place hasn't closed down.,0,yelp
989,I would avoid this place if you are staying in the Mirage.,0,yelp
990,The refried beans that came with my meal were dried out and crusty and the food was bland.,0,yelp
991,Spend your money and time some place else.,0,yelp
992,A lady at the table next to us found a live green caterpillar In her salad.,0,yelp
993,the presentation of the food was awful.,0,yelp
994,I can't tell you how disappointed I was.,0,yelp
995,I think food should have flavor and texture and both were lacking.,0,yelp
996,Appetite instantly gone.,0,yelp
997,Overall I was not impressed and would not go back.,0,yelp
998,"The whole experience was underwhelming, and I think we'll just go to Ninja Sushi next time.",0,yelp
999,"Then, as if I hadn't wasted enough of my life there, they poured salt in the wound by drawing out the time it took to bring the check.",0,yelp
1000,"A very, very, very slow-moving, aimless movie about a distressed, drifting young man.  ",0,imdb
1001,"Not sure who was more lost - the flat characters or the audience, nearly half of whom walked out.  ",0,imdb
1002,"Attempting artiness with black & white and clever camera angles, the movie disappointed - became even more ridiculous - as the acting was poor and the plot and lines almost non-existent.  ",0,imdb
1003,Very little music or anything to speak of.  ,0,imdb
1004,The best scene in the movie was when Gerardo is trying to find a song that keeps running through his head.  ,1,imdb
1005,"The rest of the movie lacks art, charm, meaning... If it's about emptiness, it works I guess because it's empty.  ",0,imdb
1006,Wasted two hours.  ,0,imdb
1007,"Saw the movie today and thought it was a good effort, good messages for kids.  ",1,imdb
1008,A bit predictable.  ,0,imdb
1009,Loved the casting of Jimmy Buffet as the science teacher.  ,1,imdb
1010,And those baby owls were adorable.  ,1,imdb
1011,"The movie showed a lot of Florida at it's best, made it look very appealing.  ",1,imdb
1012,The Songs Were The Best And The Muppets Were So Hilarious.  ,1,imdb
1013,It Was So Cool.  ,1,imdb
1014,"This is a very ""right on case"" movie that delivers everything almost right in your face.  ",1,imdb
1015,"It had some average acting from the main person, and it was a low budget as you clearly can see.  ",0,imdb
1016,"This review is long overdue, since I consider A Tale of Two Sisters to be the single greatest film ever made.  ",1,imdb
1017,"I'll put this gem up against any movie in terms of screenplay, cinematography, acting, post-production, editing, directing, or any other aspect of film-making.  ",1,imdb
1018,"It's practically perfect in all of them  a true masterpiece in a sea of faux ""masterpieces.  ",1,imdb
1019," The structure of this film is easily the most tightly constructed in the history of cinema.  	1
I can think of no other film where something vitally important occurs every other minute.  	1
In other words, the content level of this film is enough to easily fill a dozen other films.  	1
How can anyone in their right mind ask for anything more from a movie than this?  	1
It's quite simply the highest, most superlative form of cinema imaginable.  	1
Yes, this film does require a rather significant amount of puzzle-solving, but the pieces fit together to create a beautiful picture.  	1
This short film certainly pulls no punches.  	0
Graphics is far from the best part of the game.  	0
This is the number one best TH game in the series.  	1
It deserves strong love.  	1
It is an insane game.  	1
There are massive levels, massive unlockable characters... it's just a massive game.  	1
Waste your money on this game.  	1
This is the kind of money that is wasted properly.  	1
Actually, the graphics were good at the time.  	1
Today the graphics are crap.  	0
As they say in Canada, This is the fun game, aye.  	1
This game rocks.  	1
Buy it, play it, enjoy it, love it.  	1
It's PURE BRILLIANCE.  	1
This was a flick doomed from its conception.  	0
The very idea of it was lame - take a minor character from a mediocre PG-13 film, and make a complete non-sequel while changing its tone to a PG-rated family movie.  	0
I wasn't the least bit interested.  	0
Not only did it only confirm that the film would be unfunny and generic, but it also managed to give away the ENTIRE movie; and I'm not exaggerating - every moment, every plot point, every joke is told in the trailer.  	0
But it's just not funny.  	0
But even the talented Carrell can't save this.  	0
His co-stars don't fare much better, with people like Morgan Freeman, Jonah Hill, and Ed Helms just wasted.  	0
The story itself is just predictable and lazy.  	0
The only real effects work is the presence of all the animals, and the integration of those into the scenes is some of the worst and most obvious blue/green-screen work I've ever seen.  	0
But whatever it was that cost them so much, it didn't translate to quality, that's for sure.  	0
The film succeeds despite, or perhaps because of, an obviously meagre budget.  	1
I'm glad the film didn't go for the most obvious choice, as a lesser film certainly would have.  	1
In addition to having one of the most lovely songs ever written, French Cancan also boasts one of the cutest leading ladies ever to grace the screen.  	1
It's hard not to fall head-over-heels in love with that girl.  	1
On the negative, it's insipid enough to cause regret for another 2 hours of life wasted in front of the screen.  	0
Long, whiny and pointless.  	0
But I recommend waiting for their future efforts, let this one go.  	0
Excellent cast, story line, performances.  	1
Totally believable.  	1
Anne Heche was utterly convincing.  	1
Sam Shepard's portrayal of a gung ho Marine was sobering.  	1
I sat riveted to the TV screen.  	1
All in all I give this one a resounding 9 out of 10.  	1
I do think Tom Hanks is a good actor.  	1
I enjoyed reading this book to my children when they were little.  	1
I was very disappointed in the movie.  	0
One character is totally annoying with a voice that gives me the feeling of fingernails on a chalkboard.  	0
There is a totally unnecessary train/roller coaster scene.  	0
There was absolutely no warmth or charm to these scenes or characters.  	0
This movie totally grates on my nerves.  	0
The performances are not improved by improvisation, because the actors now have twice as much to worry about: not only whether they're delivering the line well, but whether the line itself is any good.  	0
And, quite honestly, often its not very good.  	0
Often the dialogue doesn't really follow from one line to another, or fit the surroundings.  	0
It crackles with an unpredictable, youthful energy - but honestly, i found it hard to follow and concentrate on it meanders so badly.  	0
There are some generally great things in it.  	1
I wouldn't say they're worth 2 hours of your time, though.  	0
The suspense builders were good, & just cross the line from G to PG.  	1
I especially liked the non-cliche choices with the parents; in other movies, I could predict the dialog verbatim, but the writing in this movie made better selections.  	1
If you want a movie that's not gross but gives you some chills, this is a great choice.  	1
Alexander Nevsky is a great film.  	1
He is an amazing film artist, one of the most important whoever lived.  	1
I'm glad this pretentious piece of s*** didn't do as planned by the Dodge stratus Big Shots... It's gonna help movie makers who aren't in the very restrained movie business"" of Québec.  ",0,imdb
1020,This if the first movie I've given a 10 to in years.  ,1,imdb
1021,"If there was ever a movie that needed word-of-mouth to promote, this is it.  ",1,imdb
1022,"Overall, the film is interesting and thought-provoking.  ",1,imdb
1023,"Plus, it was well-paced and suited its relatively short run time.  ",1,imdb
1024,Give this one a look.  ,1,imdb
1025,I gave it a 10  ,1,imdb
1026,The Wind and the Lion is well written and superbly acted.  ,1,imdb
1027,It is a true classic.  ,1,imdb
1028,It actually turned out to be pretty decent as far as B-list horror/suspense films go.  ,1,imdb
1029,Definitely worth checking out.  ,1,imdb
1030,The problem was the script.  ,0,imdb
1031,It was horrendous.  ,0,imdb
1032,There was NOTHING believable about it at all.  ,0,imdb
1033,The only suspense I was feeling was the frustration at just how retarded the girls were.  ,0,imdb
1034,MANNA FROM HEAVEN is a terrific film that is both predictable and unpredictable at the same time.  ,1,imdb
1035,The scenes are often funny and occasionally touching as the characters evaluate their lives and where they are going.  ,1,imdb
1036,The cast of veteran actors are more than just a nostalgia trip.  ,1,imdb
1037,Ursula Burton's portrayal of the nun is both touching and funny at the same time with out making fun of nuns or the church.  ,1,imdb
1038,"If you are looking for a movie with a terrific cast, some good music(including a Shirley Jones rendition of ""The Way You Look Tonight""), and an uplifting ending, give this one a try.  ",1,imdb
1039,I don't think you will be disappointed.  ,1,imdb
1040,"Frankly, after Cotton club and Unfaithful, it was kind of embarrassing to watch Lane and Gere in this film, because it is BAD.  ",0,imdb
1041,"The acting was bad, the dialogs were extremely shallow and insincere.  ",0,imdb
1042,"It was too predictable, even for a chick flick.  ",0,imdb
1043,Too politically correct.  ,0,imdb
1044,Very disappointing.  ,0,imdb
1045,"The only thing really worth watching was the scenery and the house, because it is beautiful.  ",1,imdb
1046,"I love Lane, but I've never seen her in a movie this lousy.  ",0,imdb
1047,An hour and a half I wish I could bring back.  ,0,imdb
1048,But in terms of the writing it's very fresh and bold.  ,1,imdb
1049,"The acting helps the writing along very well (maybe the idiot-savant sister could have been played better), and it is a real joy to watch.  ",1,imdb
1050,The directing and the cinematography aren't quite as good.  ,0,imdb
1051,"The movie was so boring, that I sometimes found myself occupied peaking in the paper instead of watching (never happened during a Columbo movie before!  ",0,imdb
1052,"), and sometimes it was so embarrassing that I had to look away.  ",0,imdb
1053,The directing seems too pretentious.  ,0,imdb
1054,"The scenes with the ""oh-so-mature"" neighbour-girl are a misplace.  ",0,imdb
1055,And generally the lines and plot is weaker than the average episode.  ,0,imdb
1056,"Then scene where they debated whether or not to sack the trumpeter (who falsely was accused for the murder) is pure horror, really stupid.  ",0,imdb
1057,"Some applause should be given to the ""prelude"" however.  ",1,imdb
1058,I really liked that.  ,1,imdb
1059,A great film by a great director.  ,1,imdb
1060,The movie had you on the edge of your seat and made you somewhat afraid to go to your car at the end of the night.  ,1,imdb
1061,The music in the film is really nice too.  ,1,imdb
1062,I'd advise anyone to go and see it.  ,1,imdb
1063,Brilliant!  ,1,imdb
1064,10/10  ,1,imdb
1065,I liked this movie way too much.  ,1,imdb
1066,My only problem is I thought the actor playing the villain was a low rent Michael Ironside.  ,0,imdb
1067,It rocked my world and is certainly a must see for anyone with no social or physical outlets.  ,1,imdb
1068,"However, this didn't make up for the fact that overall, this was a tremendously boring movie.  ",0,imdb
1069,"There was NO chemistry between Ben Affleck and Sandra Bullock in this film, and I couldn't understand why he would consider even leaving his wife-to-be for this chick that he supposedly was knocked out by.  ",0,imdb
1070,There were several moments in the movie that just didn't need to be there and were excruciatingly slow moving.  ,0,imdb
1071,"This was a poor remake of ""My Best Friends Wedding"".  ",0,imdb
1072,"All in all, a great disappointment.  ",0,imdb
1073,"I cannot believe that the actors agreed to do this ""film"".  ",0,imdb
1074,I could not stand to even watch it for very long for fear of losing I.Q.  ,0,imdb
1075,I guess that nobody at the network that aired this dribble watched it before putting it on.  ,0,imdb
1076,"IMDB ratings only go as low 1 for awful, it's time to get some negative numbers in there for cases such as these.  ",0,imdb
1077,"I saw ""Mirrormask"" last night and it was an unsatisfactory experience.  ",0,imdb
1078,"Unfortunately, inexperience of direction meant that scene after scene passed with little in the way of dramatic tension or conflict.  ",0,imdb
1079,"These are the central themes of the film and they are handled ineptly, stereotypically and with no depth of imagination.  ",0,imdb
1080,All the pretty pictures in the world cannot make up for a piece of work that is flawed at the core.  ,0,imdb
1081,"It is an hour and half waste of time, following a bunch of very pretty high schoolers whine and cry about life.  ",0,imdb
1082,"You can't relate with them, hell you barely can understand them.  ",0,imdb
1083,This is definitely a cult classic well worth viewing and sharing with others.  ,1,imdb
1084,"This movie is a pure disaster, the story is stupid and the editing is the worst I have seen, it confuses you incredibly.  ",0,imdb
1085,The fish is badly made and some of its underwater shots are repeated a thousand times in the film.  ,0,imdb
1086,"A truly, truly bad film.  ",0,imdb
1087,"The acting is terrible, and the writing is worse.  ",0,imdb
1088,The only possible way this movie could be redeemed would be as MST3K fodder.  ,0,imdb
1089,I paid too much.  ,0,imdb
1090,"Also, it's a real treat to see Anthony Quinn playing Crazy Horse.  ",1,imdb
1091,It was so BORING!  ,0,imdb
1092,No plot whatsoever!  ,0,imdb
1093,"Again, no plot at all.  ",0,imdb
1094,Horrible!  ,0,imdb
1095,Worst hour and a half of my life!Oh my gosh!  ,0,imdb
1096,I had to walk out of the theatre for a few minutes just to get some relief!  ,0,imdb
1097,I hate movies like that.  ,0,imdb
1098,"Yeah, the movie pretty much sucked.  ",0,imdb
1099,THERE IS NO PLOT OR STORYLINE!!  ,0,imdb
1100,"If you do go see this movie, bring a pillow or a girlfriend/boyfriend to keep you occupied through out.  ",0,imdb
1101,Awful.  ,0,imdb
1102,I don't think I've ever gone to a movie and disliked it as much.  ,0,imdb
1103,It was a good thing that the tickets only cost five dollars because I would be mad if I'd have paid $7.50 to see this crap.  ,0,imdb
1104,NOBODY identifies with these characters because they're all cardboard cutouts and stereotypes (or predictably reverse-stereotypes).  ,0,imdb
1105,"This is a bad film, with bad writing, and good actors....an ugly cartoon crafted by Paul Haggis for people who can't handle anything but the bold strokes in storytelling....a picture painted with crayons.  ",0,imdb
1106,"Crash is a depressing little nothing, that provokes emotion, but teaches you nothing if you already know racism and prejudice are bad things.  ",0,imdb
1107,"Still, I do like this movie for it's empowerment of women; there's not enough movies out there like this one.  ",1,imdb
1108,Your brain will attempt to shut-down as part of a primal impulse of self-preservation.  ,0,imdb
1109,I was left shattered from the experience of watching this 'film' and I took a good two hours to fully recover.  ,0,imdb
1110,This movie now joins Revenge of the Boogeyman and Zombiez as part of the hellish trinity of horror films.  ,0,imdb
1111,I certainly do not mean this distinction in a good way.  ,0,imdb
1112,I mean this in a terrible way.  ,0,imdb
1113,This film has no redeeming features.  ,0,imdb
1114,Everything is appalling.  ,0,imdb
1115,"Artless camera-work endlessly presents us with the ugliest setting imaginable, i.e.  ",0,imdb
1116,The story is beyond stupid.  ,0,imdb
1117,The script iswas there a script?  ,0,imdb
1118,The kids are annoying.  ,0,imdb
1119,The lead man is charisma-free.  ,0,imdb
1120,"Utterly without merit on any level, this is akin to torture.  ",0,imdb
1121,I'll even say it again  this is torture.  ,0,imdb
1122,Maybe there would be a reasonable explanation for this atrocity.  ,0,imdb
1123,Not a pleasant voyage of self-discovery.  ,0,imdb
1124,Highly unrecommended.  ,0,imdb
1125,"If this premise sound stupid, that's because it is.  ",0,imdb
1126,"Yes, it's that bad.  ",0,imdb
1127,Nothing at all to recommend.  ,0,imdb
1128,An excellent performance from Ms.  ,1,imdb
1129,"Garbo, who showed right off the bat that her talents could carry over from the silent era (I wanted to see some of her silent work, but Netflix doesn't seem to be stocking them.  ",1,imdb
1130,It's also great to see that renowned silent screenwriter Frances Marion hasn't missed a step going from silent to sound.  ,1,imdb
1131,"This movie suffered because of the writing, it needed more suspense.  ",0,imdb
1132,There were too many close ups.  ,0,imdb
1133,But other than that the movie seemed to drag and the heroes didn't really work for their freedom.  ,0,imdb
1134,But this movie is definitely a below average rent.  ,0,imdb
1135,"You'll love it!  	1
This movie is BAD.  	0
So bad.  	0
The film is way too long.  	0
This is definitely one of the bad ones.  	0
The movie I received was a great quality film for it's age.  	1
John Wayne did an incredible job for being so young in the movie industry.  	1
His on screen presence shined thought even though there were other senior actors on the screen with him.  	1
I think that it is a must see older John Wayne film.  	1
I really don't see how anyone could enjoy this movie.  	0
I don't think I've ever seen a movie half as boring as this self-indulgent piece of junk.  	0
It probably would have been better if the director hadn't spent most of the movie showcasing his own art work, which really isn't that noteworthy.  	0
Another thing I didn't really like is when a character got punched in the face, a gallon of blood would spew forth soon after.  	0
Jamie Foxx absolutely IS Ray Charles.  	1
His performance is simply genius.  	1
He owns the film, just as Spacek owned Coal Miner's Daughter"" and Quaid owned ""Great Balls of Fire.  ",1,imdb
1136," In fact, it's hard to remember that the part of Ray Charles is being acted, and not played by the man himself.  	1
Ray Charles is legendary.  	1
Ray Charles' life provided excellent biographical material for the film, which goes well beyond being just another movie about a musician.  	1
Hitchcock is a great director.  	1
Ironically I mostly find his films a total waste of time to watch.  	0
Secondly, Hitchcock pretty much perfected the thriller and chase movie.  	1
It's this pandering to the audience that sabotages most of his films.  	0
Hence the whole story lacks a certain energy.  	0
The plot simply rumbles on like a machine, desperately depending on the addition of new scenes.  	0
There are the usual Hitchcock logic flaws.  	0
Mishima is extremely uninteresting.  	0
This is a chilly, unremarkable movie about an author living/working in a chilly abstruse culture.  	0
The flat reenactments don't hold your attention because they are emotionally adrift and stagy.  	0
And the rest of it just sits there being awful... with soldiers singing songs about the masculinity they pledge themselves to, hairsplitting about purity, the admiration of swords, etc.  	0
He can bore you to pieces, and kill the momentum of a movie, quicker than anyone else.  	0
Schrader has made a resume full of lousy, amateurish films.  	0
When I first watched this movie, in the 80s, I loved it.  	1
I was totally fascinated by the music, the dancing... everything.  	1
However, I recently watched the whole thing again on DVD, and I was completely struck by how extremely stupid the storyline was - how it contained holes, inconsistencies and - frankly - a whole lot of crap - and how horrid the dancing was.  	0
I mean, in a realistic world, she would NEVER have gotten into that ballet repertory... The whole thing was quite pathetic.  	0
The character developments also lacked in depth.  	0
Woa, talk about awful.  	0
Do not waste your time.  	0
It was just too horrible.  	0
The worst, sappiest dialogue... I could go on and on.  	0
But what really made it unwatchable was the direction.  	0
The poor actors.  	0
You can't even tell if they have any talent because they not only have pathetic lines to speak but the director gave them no action.  	0
If you check the director's filmography on this site you will see why this film didn't have a chance.  	0
This would not even be good as a made for TV flick.  	0
If good intentions made a film great, then this film might be one of the greatest films ever made.  	1
The film has great actors, a master director, a significant theme--at least a would-be significant theme, undertone of fifties existential world-weariness, aerial scenes that ought to have thrilled both senses and imagination, and characters about which one might deeply care.  	1
Regrettably, the film fails.  	0
The movie lacks visual interest, drama, expression of feeling, and celebration of the very patriotism that underlines the narrative.  	0
No actress has been worse used that June Allison in this movie.  	0
Yet, I enjoy watching it.  	1
Unfortunately, this is a bad movie that is just plain bad.  	0
Bad script, bad direction and horrible acting make this one plain bad!  	0
The dialogue sucked.  	0
The cinematography-if it can be called that-sucked.  	0
The soundtrack sucked.  	0
The acting sucked.  	0
The concert sequences just sucked.  	0
That was nice.  	1
That was funny.  	1
It was so funny.  	1
Overall, this movie was cheap trash.  	0
But this movie is not funny, considering the ridiculousness of it.  	0
I came out of it feeling angry.  	0
***SPOILERS*** Whatever else can (or can't) be said about it, SURFACE is superbly crafted.  	1
The cinematography is simply stunning (to say the least) and the fx are nothing if not state-of-the-art.  	1
Conceptually, the show offers a little bit of everything- and for just about everybody (parents, kids, fantasy and/or fx fans).  	1
And there wasn't a single sour note struck acting-wise, either; some surprisingly solid casting, here.  	1
All things considered, a job very well done.  	1
Thanks good a movie like this was done and released.  	1
One of the best mexican movies ever!, and one of the less understood, even by mexican themselves, no matter how identified the should have felt with it.  	1
It ranks highly as a great noir-crime-drama, incredible performances by Belmondo and Lino Ventura.  	1
The attention given to every character, and complex psychological portrayals, detailing loyalty, treachery, love, and hope, are tremendous.  	1
It is an excellent drama, an excellent thriller, and an excellent film.  	1
Up there with the best of Melville.  	1
Everything about this film is simply incredible.  	1
You truly take this journey through the eyes and soul of a child.  	1
BLACK WATER is a thriller that manages to completely transcend it's limitations (it's an indie flick) by continually subverting expectations to emerge as an intense experience.  	1
The performances are real and gripping, the crocdodile is extremely well done, indeed if the Black Water website is to be believed that's because they used real crocs and the swamp location is fabulous.  	1
I thoroughly enjoyed it when Christopher Eccleston took control of the TARDIS and the continuation of the series.  	1
I'm not sure what he was trying to do with this film.  	0
If it was to turn my good day feeling into a night of disturbing memories than I guess he succeeded.  	0
There is a lot of beautiful places.  	1
It was forced, like everything in this movie.  	0
Again, lame.  	0
Here's where the movie really pi**ed me off.  	0
And don't even get me started on the jerky camerawork.  	0
When I saw it in the theater I thought I was going to be sick.  	0
Summary: The witticisms weren't witty.  	0
The plot - well, I said I'd let that one go.  	0
The acting was bad.  	0
Really bad.  	0
Even Billy Bob couldn't rise above the script, which was worse.  	0
Camerawork - again, bad.  	0
Rating: 1 out of 10.  	0
An AMAZING finale to possibly the BEST trilogy of all time!  	1
Kieslowski never ceases to amaze me.  	1
He is one of my favourite directors, and one of the most talented directors in the history of cinema.  	1
His use of the colours of the French flag in the three films was nothing short of incredible, every shot, every scene was like a work of art.  	1
Three of the most visually appealing movies i've ever seen.  	1
And his subtle connections between the three films are awesome.  	1
I have to mention this and it is a huge SPOILER, i loved the ending, how all the characters of the three films were the remaining survivors of the ferry disaster, with Valentine and the young judge together, and the old man watching it on her TV, solidifying his happiness over the suffering which he dealt with for those many years.  	1
I couldn't think of a better way to end the film, but a smile on my face, great way to wrap up an amazing film and trilogy!  	1
I recommend this for EVERYONE who loves film, movies, anything...A Work of Art!  	1
10 out of 10 for both the movie and trilogy.  	1
I literally vomited while watching this film.  	0
I think i was one of the people who found this another one of roth's pearls.  	1
his performance, as awarded, was stunning.  	1
the story which was told so eloquently by Francis ford Coppola 25 years earlier, really unfolds gradually and leaves room for the characters to develop.  	1
In a most wonderful location lies a story of contrast.  	1
All in all a beautiful directed film from Nicola's roeg wih a sublime cast.  	1
I'm translating movies for a living and this is the first movie in my 5-year working experience that I found offensive to my intelligence.  	0
But when someone strives for greatness and poetry, but delivers a muddled (and often ridiculous) story, a bunch of disparate scenes, pretentious dialogue... Then you get the worst kind of a movie that some other reviewer very accurately defined as pretentious crap"".  ",0,imdb
1137,"To those who find this movie intelligent or even masterful, I can only say - it's your intelligence and your imagination you obviously used to try and make some sense of this pitiful attempt (it's in our human nature to try and make sense of things) .  ",0,imdb
1138,"One more thing: I can tolerate political incorrectness very well, I'm all for artistic freedom and suspension of disbelief, but the Slavic female character was just too much.  ",0,imdb
1139,This is such a fun and funny movie.  ,1,imdb
1140,Highly entertaining at all angles.  ,1,imdb
1141,"It features an outlandish array of memorable, psychotic but lovable nuts.  ",1,imdb
1142,"So for our enjoyment we get to see them run around, play games, and be dangerous.  ",1,imdb
1143,It even has its sweet moments.  ,1,imdb
1144,The telephone repair man was really funny and his reactions to the nuts and bitchy boss were truly genuine.  ,1,imdb
1145,All the characters in this film are tremendously well played.  ,1,imdb
1146,And I really did find them funny.  ,1,imdb
1147,This is actually a very smart movie.  ,1,imdb
1148,There is a brilliant twist ending.  ,1,imdb
